URN,P8MEA,Year,RankASC,RankDESC,PercentileASC,PercentileDESC
137407,0.38,2016,412,3094,0.12,0.88
137633,0.17,2016,968,2539,0.28,0.72
141035,0.22,2016,825,2682,0.24,0.76
137925,0.0,2016,1574,1932,0.45,0.55
136329,0.34,2016,498,3008,0.14,0.86
135004,-0.89,2016,3035,472,0.87,0.13
102451,0.2,2016,882,2624,0.25,0.75
136519,0.06,2016,1350,2156,0.39,0.61
140941,0.22,2016,825,2682,0.24,0.76
137078,0.38,2016,412,3094,0.12,0.88
137829,0.36,2016,459,3048,0.13,0.87
138368,-1.14,2016,3093,414,0.88,0.12
136711,0.58,2016,112,3394,0.03,0.97
137077,0.27,2016,688,2819,0.2,0.8
140748,0.22,2016,825,2682,0.24,0.76
134797,-0.68,2016,2940,568,0.84,0.16
136631,0.44,2016,283,3224,0.08,0.92
136768,-0.38,2016,2630,877,0.75,0.25
137635,0.44,2016,283,3224,0.08,0.92
141382,-3.02,2016,3490,17,1.0,0.0
139095,0.2,2016,882,2624,0.25,0.75
137907,-0.12,2016,2000,1507,0.57,0.43
136522,0.42,2016,324,3184,0.09,0.91
137618,0.06,2016,1350,2156,0.39,0.61
139989,0.5,2016,190,3318,0.05,0.95
137928,0.44,2016,283,3224,0.08,0.92
102545,0.56,2016,128,3380,0.04,0.96
102539,0.66,2016,60,3447,0.02,0.98
138924,0.47,2016,236,3272,0.07,0.93
137940,0.17,2016,968,2539,0.28,0.72
139276,-0.09,2016,1912,1594,0.55,0.45
136341,0.52,2016,168,3338,0.05,0.95
137009,0.2,2016,882,2624,0.25,0.75
137995,0.75,2016,28,3480,0.01,0.99
102554,-2.02,2016,3364,143,0.96,0.04
102599,0.36,2016,459,3048,0.13,0.87
137859,-0.02,2016,1658,1849,0.47,0.53
137848,0.49,2016,202,3304,0.06,0.94
137678,0.22,2016,825,2682,0.24,0.76
138459,0.55,2016,136,3370,0.04,0.96
137299,0.39,2016,388,3118,0.11,0.89
137917,0.23,2016,798,2709,0.23,0.77
136615,0.72,2016,35,3472,0.01,0.99
136910,0.65,2016,68,3438,0.02,0.98
137060,0.28,2016,659,2848,0.19,0.81
102622,-1.77,2016,3292,215,0.94,0.06
131897,0.55,2016,136,3370,0.04,0.96
138495,0.67,2016,54,3452,0.02,0.98
102674,-0.14,2016,2070,1437,0.59,0.41
102673,0.39,2016,388,3118,0.11,0.89
102679,0.36,2016,459,3048,0.13,0.87
134003,-0.27,2016,2410,1097,0.69,0.31
102683,0.76,2016,24,3482,0.01,0.99
102681,0.1,2016,1198,2308,0.34,0.66
102697,-2.08,2016,3374,132,0.96,0.04
136669,0.71,2016,36,3470,0.01,0.99
139703,0.4,2016,366,3142,0.1,0.9
102783,-0.38,2016,2630,877,0.75,0.25
102784,0.02,2016,1493,2014,0.43,0.57
102775,0.81,2016,16,3492,0.0,1.0
132058,0.02,2016,1493,2014,0.43,0.57
140373,0.07,2016,1306,2201,0.37,0.63
102778,0.47,2016,236,3272,0.07,0.93
102776,0.18,2016,940,2567,0.27,0.73
102782,0.52,2016,168,3338,0.05,0.95
102777,0.32,2016,550,2956,0.16,0.84
131929,-0.09,2016,1912,1594,0.55,0.45
102786,0.17,2016,968,2539,0.28,0.72
102787,0.05,2016,1390,2118,0.4,0.6
102785,0.42,2016,324,3184,0.09,0.91
136978,0.17,2016,968,2539,0.28,0.72
102793,-2.52,2016,3438,70,0.98,0.02
140575,0.13,2016,1108,2399,0.32,0.68
102849,0.14,2016,1072,2435,0.31,0.69
136267,0.45,2016,268,3238,0.08,0.92
137692,0.18,2016,940,2567,0.27,0.73
102850,0.18,2016,940,2567,0.27,0.73
102861,0.54,2016,148,3360,0.04,0.96
140475,0.47,2016,236,3272,0.07,0.93
102858,0.24,2016,774,2734,0.22,0.78
133405,-0.02,2016,1658,1849,0.47,0.53
137088,0.14,2016,1072,2435,0.31,0.69
102856,0.42,2016,324,3184,0.09,0.91
102860,0.27,2016,688,2819,0.2,0.8
137418,0.43,2016,302,3206,0.09,0.91
102857,0.62,2016,84,3424,0.02,0.98
102851,0.5,2016,190,3318,0.05,0.95
102854,-0.01,2016,1619,1888,0.46,0.54
102852,0.73,2016,33,3474,0.01,0.99
102878,-1.25,2016,3109,398,0.89,0.11
102879,-2.08,2016,3374,132,0.96,0.04
102929,0.26,2016,718,2790,0.2,0.8
138825,0.29,2016,632,2876,0.18,0.82
136103,-0.58,2016,2885,622,0.82,0.18
138651,0.15,2016,1035,2472,0.3,0.71
136208,-0.55,2016,2856,652,0.81,0.19
138460,0.22,2016,825,2682,0.24,0.76
136104,-0.19,2016,2214,1292,0.63,0.37
138461,0.67,2016,54,3452,0.02,0.98
102952,-1.41,2016,3148,360,0.9,0.1
136799,-0.28,2016,2434,1072,0.69,0.31
136797,0.12,2016,1138,2369,0.32,0.68
136785,-0.12,2016,2000,1507,0.57,0.43
136914,0.43,2016,302,3206,0.09,0.91
136800,-0.02,2016,1658,1849,0.47,0.53
103009,0.11,2016,1166,2342,0.33,0.67
136795,0.73,2016,33,3474,0.01,0.99
136756,-0.29,2016,2462,1046,0.7,0.3
103013,0.51,2016,179,3328,0.05,0.95
103003,-0.06,2016,1794,1713,0.51,0.49
136787,0.18,2016,940,2567,0.27,0.73
136798,0.66,2016,60,3447,0.02,0.98
136789,0.7,2016,40,3466,0.01,0.99
136621,0.58,2016,112,3394,0.03,0.97
139722,-1.56,2016,3199,308,0.91,0.09
133742,-1.35,2016,3132,376,0.89,0.11
137507,-3.6,2016,3503,4,1.0,0.0
103080,0.59,2016,102,3404,0.03,0.97
138691,0.21,2016,852,2654,0.24,0.76
139293,0.59,2016,102,3404,0.03,0.97
103094,0.04,2016,1420,2086,0.41,0.59
103096,0.53,2016,158,3349,0.05,0.96
103097,0.14,2016,1072,2435,0.31,0.69
137558,0.12,2016,1138,2369,0.32,0.68
103106,0.09,2016,1238,2269,0.35,0.65
103105,0.49,2016,202,3304,0.06,0.94
133287,0.49,2016,202,3304,0.06,0.94
103101,0.15,2016,1035,2472,0.3,0.71
103098,0.28,2016,659,2848,0.19,0.81
138859,-0.16,2016,2130,1377,0.61,0.39
132727,0.21,2016,852,2654,0.24,0.76
103103,0.63,2016,79,3428,0.02,0.98
103100,0.31,2016,575,2932,0.16,0.84
131697,-3.14,2016,3494,13,1.0,0.0
140197,-1.38,2016,3138,368,0.9,0.1
140795,-1.56,2016,3199,308,0.91,0.09
133306,0.6,2016,95,3412,0.03,0.97
103541,-0.09,2016,1912,1594,0.55,0.45
140014,-0.06,2016,1794,1713,0.51,0.49
137578,0.3,2016,602,2905,0.17,0.83
135970,0.76,2016,24,3482,0.01,0.99
138136,0.22,2016,825,2682,0.24,0.76
136882,0.68,2016,50,3457,0.01,0.99
138222,-0.41,2016,2677,830,0.76,0.24
103529,0.06,2016,1350,2156,0.39,0.61
136589,-0.21,2016,2269,1238,0.65,0.35
139738,-0.88,2016,3031,476,0.86,0.14
